# Open,High,Low,Volume,Close
5640,5840,5600,43155000,0.086151
5820,5870,5720,25315000,0.086892
6000,6160,5940,49545000,0.088078
5880,6060,5880,33430000,0.089709
6100,6100,5990,21490000,0.089561
6060,6280,6060,33000000,0.091785
6000,6040,5790,47465000,0.085854
5790,5840,5650,32980000,0.084223
5600,5710,5520,37950000,0.084075
5670,5740,5580,20490000,0.082888
5590,5900,5590,25520000,0.087485
5750,5780,5650,25405000,0.08452
5560,5590,5460,33420000,0.081851
5580,5580,5430,19110000,0.081851
5460,5700,5400,39685000,0.083333
5690,5780,5640,29210000,0.084964
5690,5800,5600,51570000,0.085261
5750,5830,5730,50580000,0.086002
5810,5830,5650,53845000,0.086002
5980,6060,5860,38295000,0.08793
5930,5940,5640,38500000,0.085409
5990,6030,5870,42135000,0.088671
